cbryant@Telkom.com,cbryant,KqzPexKuMLs=
pnunez@Etisalat.com,pnunez,NOm9+27EDMk=
mthornto@APICnet.com,mthornto,/i2E1LZo9RM=
acampos@Belgacom.com,acampos,TL/qDE9l3s0=
cdickson@Telecom.com,cdickson,JHeGftrHve0=
ysummers@Etisalat.com,ysummers,bgXK+IB2r/A=
kmonroe@ICom.com,kmonroe,SFqVKgAKcoM=
rmccann@Telia.com,rmccann,9ZXbR8L3HGM=
sriley@Unicom.com,sriley,gyr86G55ei4=
mbradfor@Telefonica.com,mbradfor,qy8jna4V3eE=
mbrownin@Vodafone.com,mbrownin,u2M+9vAEISw=
apollard@APICnet.com,apollard,5ik3clS5IxU=
groman@AIS.com,groman,vv60AYhkIas=
tsawyer@KTC.com,tsawyer,xdzqo8WeGaI=
hsierra@Vodafone.com,hsierra,iey/nv7doO4=
mhood@ATT.com,mhood,8FOcSgTAsyM=
ribarra@Telus.com,ribarra,5pdBEeVtC0w=
rhollowa@Softbank.com,rhollowa,YnKCx2QSVgM=
pschmitt@Softbank.com,pschmitt,HLS8f9iLyDw=
nkirby@BT.com,nkirby,+slYa57g12Q=
wmcbride@EUnet.com,wmcbride,Xbl26FZToxs=
kmathis@Turkcell.com,kmathis,ze6dDgQcdNI=
lodonnel@cerist.com,lodonnel,WBcf3YOiGHM=
lrichard@Millicom.com,lrichard,YKFM2CmmPaQ=
jsulliva@AIS.com,jsulliva,RIZ+JeVuAYw=
nblair@MegaFon.com,nblair,XyK5/baMHuM=
mbrown@ATT.com,mbrown,3yM1utpcTBo=
lwelch@KPN.com,lwelch,Uo5q5/oe1EM=
ncurtis@EUnet.com,ncurtis,4OR59CzKEL8=
igates@Jio.com,igates,npqa6zIIc/I=
nzuniga@Telenor.com,nzuniga,mCoiFHNn0W0=
ebrown@Safaricom.com,ebrown,1ybPBmk2IOI=
jdyer@Vodafone.com,jdyer,seOE0Bm5V5E=
tgriffin@cerist.com,tgriffin,/2v8KPD/3io=
dfitzpat@Relcom.com,dfitzpat,W7f7fkZ61pw=
jsoto@Telecom.com,jsoto,KO94STUBx/M=
mfuentes@Orstom.com,mfuentes,8r4GhH0OKNg=
rhensley@Bifty.com,rhensley,tX625cgFDUg=
rsweeney@Vodafone.com,rsweeney,3k2qi4oLvdw=
layers@LGUplus.com,layers,EQylCiZ8Hmc=
ebrewer@NordNet.com,ebrewer,43skmqIeP64=
vgoodwin@Orstom.com,vgoodwin,9n5MTTX6+kg=
cstevens@NordNet.com,cstevens,KrOTTXA5rig=
kherring@Belgacom.com,kherring,WdIbvyApy8s=
pgarriso@Optus.com,pgarriso,bSu40x2yZOk=
bgray@SKTelecom.com,bgray,x23NYvGZarw=
ethomas@Telefonica.com,ethomas,h2qGziqmoZ4=
sconley@Telekom.com,sconley,pjZQCrGK3jM=
tclark@Telekom.com,tclark,IDoJTpJcjr4=
cgarriso@TT.com,cgarriso,gkwA4K7ZHGs=
besquive@Telecom.com,besquive,1bqCyBAWkLM=
jthornto@Airtel.com,jthornto,BbfnnGqkRzE=
zpreston@Unicom.com,zpreston,Jcrmy/luxAQ=
briley@BCE.com,briley,LDseEaktCFI=
jbest@Verizon.com,jbest,W2iWhumBoXE=
ttrejo@GlasNET.com,ttrejo,IoxZwwSojYo=
rcosta@CUBENet.com,rcosta,rPgFCyxCkvs=
afischer@Turkcell.com,afischer,5VjHXuHNNuk=
hrogers@TeleSystems.com,hrogers,2SQTJokv5j8=
wblackbu@Tata.com,wblackbu,gbBBbwKCudQ=
esulliva@Chunghwa.com,esulliva,zOuI9Pb3z7M=
jmaxwell@Vivendi.com,jmaxwell,3+C93zE30gs=
aesquive@VimpelCom.com,aesquive,3myYjEp41Bg=
dconrad@Chunghwa.com,dconrad,TjtEdPbGqJQ=
gibarra@Belgacom.com,gibarra,9QgigwjVrWw=
astuart@OTE.com,astuart,r4tKlnJOdAE=
grosas@NTT.com,grosas,p/DzA3ULy38=
atanner@Oi.com,atanner,bbC0QrsWE5A=
mesquive@MTN.com,mesquive,IEIv9IeTTms=
nwright@Sprint.com,nwright,/BlV1x0d56c=
ltrevino@CUBENet.com,ltrevino,WtkcgNINFC4=
lbooth@Bifty.com,lbooth,77OdrTJUc2o=
sgould@Safaricom.com,sgould,0vuQqDhT5p0=
sdennis@cerist.com,sdennis,MoOJBtlIY84=
dwilkins@KDDI.com,dwilkins,lEWDDrODr28=
catkinso@Sprint.com,catkinso,wCdNA3J+MlE=
mmonroe@MegaFon.com,mmonroe,Wrh1z0eHgks=
djenning@KTC.com,djenning,YLAkE5gGzFE=
dlevy@Telus.com,dlevy,/EzvnKrwZ5I=
posborne@CenturyLink.com,posborne,OyRpfhmTpSU=
jcole@Tata.com,jcole,XcdFQDQxSZQ=
dduffy@Orange.com,dduffy,nwQ/I07buyA=
fparks@Etisalat.com,fparks,4LxnK8JjdzI=
qpierce@CCS.com,qpierce,6s0u5sYDIlw=
scurry@Rogers.com,scurry,cMTdFeU2vQM=
alowe@NTT.com,alowe,Tt71iZ0xFCE=
hlivings@Rogers.com,hlivings,uvVYYFuXR1M=
lparker@PTCL.com,lparker,H1jLJlnbqYw=
klucero@KPN.com,klucero,Xdy0zIE5N9E=
khoward@Telkom.com,khoward,9q6lygBy14k=
scunning@Unicom.com,scunning,SNrUETx8rkk=
mcampos@AIS.com,mcampos,LPBh1ThFAh4=
khurley@TelecomItalia.com,khurley,wJiJ8zXGLYY=
jpollard@KDDI.com,jpollard,RfGG5OwOM5E=
mbarton@UI.com,mbarton,oDWGhvJ2ZLg=
hdonalds@Jio.com,hdonalds,y/qNGs7eGsE=
bdouglas@WorldNet.com,bdouglas,L7FUveGondU=
sstephen@OTE.com,sstephen,+BhRnlFlM10=
ncordova@Orange.com,ncordova,mpZEXE8MFqA=
mjimenez@Econnect.com,mjimenez,Jcegw8c0u7s=
rtravis@SKTelecom.com,rtravis,5j3ptz+1JLc=
klevy@SingTel.com,klevy,Y5R7+iAkqy4=
ahogan@Airtel.com,ahogan,SS8PeobJ8ok=
vdoyle@Telus.com,vdoyle,ejUJEpTvIN4=
mreilly@ATT.com,mreilly,E3/rpHcSowU=
